University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Universidad Santiago de Cali,El Carmen de Bolívar,Colombia,Programmer Analyst III,Synergistic dedicated benchmark,2019-10-07,2019-12-25,781.41,COP
Université d'Antsiranana,Tsiroanomandidy,Madagascar,Executive Secretary,Reverse-engineered multi-tasking system engine,2018-11-04,2019-02-24,9898.15,MGA
Universidade Federal do ABC,Jataí,Brazil,Data Coordinator,Polarised zero tolerance time-frame,2018-04-13,2018-10-05,8145.81,BRL
Universidad de Congreso,Pozo Hondo,Argentina,Database Administrator III,Inverse high-level framework,2017-05-02,2017-06-30,7556.18,ARS
Universidad Adventista del Plata,La Quiaca,Argentina,Software Engineer I,Public-key cohesive budgetary management,2016-10-09,2016-10-17,7573.36,ARS
Baqai Medical University,Rasūlnagar,Pakistan,Editor,Customer-focused demand-driven utilisation,2017-09-09,2018-02-07,3026.5,PKR
Escuela de Administración de Negocios,Apartadó,Colombia,Librarian,Programmable uniform concept,2017-04-23,2017-05-11,7435.76,COP
World Maritime University,Torslanda,Sweden,Quality Engineer,Triple-buffered multi-tasking flexibility,2017-06-14,2017-07-24,5814.76,SEK
Universitas Madura,Cibitung,Indonesia,Recruiter,Mandatory coherent focus group,2016-04-18,2016-10-31,9385.13,IDR
International Tourism Institute,Santa Venera,Malta,Pharmacist,Centralized intangible superstructure,2017-05-06,2017-05-09,1368.18,EUR
Shandong Medical University,Eling,China,Structural Analysis Engineer,Persevering asynchronous conglomeration,2019-06-16,2019-11-27,447.59,CNY
Darul Quran Islamic College University,Putrajaya,Malaysia,Environmental Tech,Decentralized empowering open system,2016-12-25,2017-07-01,6792.4,MYR
Southwest University of Political Science and Law,Kezileboyi,China,Health Coach III,Ameliorated multi-state extranet,2017-06-25,2017-07-14,9346.31,CNY
Instituto Superior de Informática e Gestão,Póvoa,Portugal,Safety Technician I,Right-sized composite contingency,2018-12-11,2019-06-25,4191.44,EUR
Xinjiang Normal University,Fengshou,China,Speech Pathologist,Phased cohesive synergy,2018-08-17,2018-11-05,4190.11,CNY
State Maritine Academy,Kipen’,Russia,Graphic Designer,Configurable intermediate instruction set,2019-05-28,2019-11-22,8545.9,RUB
Universidade Estadual do Piauí,Montenegro,Brazil,Actuary,Open-source optimizing utilisation,2017-03-15,2017-09-14,5487.83,BRL
Université de Toulouse-le-Mirail (Toulouse II),Montpellier,France,Assistant Professor,Decentralized cohesive secured line,2018-11-19,2019-05-30,5003.06,EUR
Danang College Of Technology,Đắk Mâm,Vietnam,Marketing Assistant,Optimized incremental ability,2016-04-08,2016-07-16,9065.9,VND
Universitas Brawijaya,Jampang Kulon,Indonesia,Dental Hygienist,Switchable demand-driven synergy,2016-10-14,2017-03-03,4904.2,IDR
Inner Mongolia Polytechnic University,Hutou,China,Legal Assistant,Right-sized grid-enabled array,2016-09-26,2016-11-26,1649.58,CNY
Bashkir State Pedagogical University named After M. Akmullah,Pokachi,Russia,Assistant Manager,Exclusive logistical support,2019-04-26,2019-06-14,3853.54,RUB
"Institute of Management Sciences, Lahore (IMS)",Kotri,Pakistan,Safety Technician IV,Synchronised holistic instruction set,2017-11-17,2018-02-08,4252.43,PKR
Swiss German University,Harjamukti,Indonesia,Marketing Manager,Organic non-volatile moratorium,2018-01-01,2018-07-01,7934.26,IDR
Universitas Kristen Satya Wacana,Dulolong,Indonesia,Senior Sales Associate,Focused foreground hierarchy,2019-04-28,2019-10-13,6226.37,IDR
Centro Universitario de Occidente,San Lucas Sacatepéquez,Guatemala,Accounting Assistant II,Total content-based model,2016-12-29,2017-06-06,1187.1,GTQ
Queen Arwa University,Majzar,Yemen,Geological Engineer,Face to face static synergy,2017-08-07,2018-02-13,6482.22,YER
Khazar University,Astara,Azerbaijan,Geological Engineer,Stand-alone logistical help-desk,2016-12-14,2017-03-11,8980.89,AZN
Universitas Sriwijaya,Cimahi,Indonesia,Operator,Right-sized stable instruction set,2018-01-24,2018-07-05,8179.46,IDR
Ural Gorkij State University,Yerofey Pavlovich,Russia,Civil Engineer,Down-sized bottom-line function,2016-08-08,2016-12-31,2804.01,RUB
Ecole Nationale d'Ingénieurs de Saint-Etienne,Dijon,France,Executive Secretary,Multi-channelled didactic model,2019-10-07,2020-01-02,9975.06,EUR
Universitas Negeri Gorontalo,Belawang,Indonesia,Assistant Professor,Centralized uniform array,2018-01-07,2018-03-21,7773.77,IDR
Universidade de Alfenas,Simões Filho,Brazil,Assistant Manager,Multi-tiered uniform contingency,2016-06-10,2016-10-05,6852.94,BRL
International Business University of Beijing,Ganpu,China,Project Manager,Digitized background conglomeration,2016-08-27,2017-01-02,7608.11,CNY
Universidad Tecnológica del Peru,Paltashaco,Peru,Human Resources Assistant IV,Ergonomic needs-based project,2018-08-28,2019-02-24,6806.68,PEN
Shanghai University of Engineering Science,Yong’an,China,Mechanical Systems Engineer,Organic value-added database,2019-09-24,2020-04-02,3150.71,CNY
Voronezh State Agricultural University,Severo-Yeniseyskiy,Russia,Biostatistician I,Multi-tiered dynamic matrices,2016-12-21,2017-06-03,9461.32,RUB
National University of Defense Technology,Lianghe,China,VP Quality Control,Ameliorated maximized ability,2016-06-10,2016-11-06,6868.19,CNY
Wuhan University of Hydraulic and Electric Engineering,Ning’an,China,Tax Accountant,Multi-tiered dynamic model,2018-03-24,2018-10-25,1616.95,CNY
University of Zadar,Jezerce,Croatia,Senior Sales Associate,Multi-lateral holistic customer loyalty,2018-11-20,2019-06-27,852.4,HRK
St. Petersburg State Mountain Institut,Ust’-Dzheguta,Russia,VP Sales,Ameliorated motivating matrix,2018-06-14,2018-06-21,2907.8,RUB
Orkhon University,Öndörhoshuu,Mongolia,Administrative Officer,Multi-channelled coherent attitude,2018-08-21,2018-09-02,8981.07,MNT
Yamagata University,Iizuka,Japan,Administrative Assistant I,Streamlined dedicated structure,2017-03-24,2017-03-30,9483.08,JPY
Shinawatra University,Chai Nat,Thailand,Clinical Specialist,Balanced impactful protocol,2019-06-01,2019-12-17,7311.4,THB
Hunan Agricultural University,Wangmang,China,Recruiting Manager,User-centric mobile functionalities,2018-04-29,2018-06-16,2280.66,CNY
Nanchang University,Qingqu,China,Community Outreach Specialist,Horizontal zero defect parallelism,2017-12-26,2018-03-16,4207.94,CNY
Universitas Udayana,Krajan,Indonesia,Project Manager,Ameliorated content-based collaboration,2017-12-12,2018-03-29,3144.75,IDR
Mahanakorn University of Technology,Mueang Nonthaburi,Thailand,Environmental Tech,Compatible content-based data-warehouse,2016-06-01,2016-07-14,3753.96,THB
University of Szczecin,Kępice,Poland,Product Engineer,Seamless motivating functionalities,2016-10-09,2016-12-23,8788.91,PLN
University of San Agustin,Suay,Philippines,Web Developer I,Organic actuating throughput,2017-12-11,2018-05-28,7995.3,PHP
Academia Nacional Superior de Orquesta,Chouto,Portugal,Recruiting Manager,Adaptive human-resource utilisation,2019-01-25,2019-04-16,7443.09,EUR
Institut Teknologi Sepuluh Nopember,Puncakwangi,Indonesia,VP Accounting,Virtual incremental infrastructure,2017-08-25,2018-01-31,1298.28,IDR
Fondazione Sacro Cuore,Firenze,Italy,Computer Systems Analyst I,Triple-buffered maximized middleware,2016-04-16,2016-11-18,2751.49,EUR
Tver State University,Tyazhinskiy,Russia,VP Quality Control,Implemented foreground concept,2019-09-05,2020-01-23,9770.38,RUB
Kurgan International University,Kromy,Russia,Software Consultant,Focused tertiary moratorium,2018-03-27,2018-11-01,674.26,RUB
Beijing Normal University,Ruilin,China,Staff Scientist,Decentralized discrete solution,2017-04-30,2017-07-12,662.19,CNY
National University of Kiev-Mohyla Academy,Ozerne,Ukraine,General Manager,Object-based fresh-thinking product,2018-01-25,2018-02-12,9781.32,UAH
University of Bialystok,Czerwionka-Leszczyny,Poland,VP Sales,Open-source local firmware,2018-06-07,2018-08-03,8643.46,PLN
Beijing Language and Culture University,Zhangzhishan,China,Systems Administrator IV,Profit-focused upward-trending infrastructure,2017-12-27,2018-01-07,5422.58,CNY
University of Missouri - Saint Louis,Hyattsville,United States,Research Assistant II,Persistent optimizing hardware,2018-01-21,2018-03-26,505.01,USD
Afe Babalola University,Gakem,Nigeria,Statistician IV,Operative global interface,2017-12-01,2018-04-27,8918.31,NGN
Philippine Women's University,Hinlayagan Ilaud,Philippines,Civil Engineer,Re-contextualized explicit knowledge user,2019-09-21,2020-01-09,8788.34,PHP
Universidade da Madeira,Martingança,Portugal,GIS Technical Architect,Digitized foreground groupware,2017-07-22,2017-10-17,8651.55,EUR
Wuhan University of Technology,Hudong,China,Senior Sales Associate,Adaptive optimal matrices,2016-03-10,2016-07-20,9362.85,CNY
Al Akhawayn University,Bhalil,Morocco,Senior Cost Accountant,Enhanced static open architecture,2019-08-15,2019-11-12,7382.11,MAD
National Transport University,Kompaniyivka,Ukraine,Nurse Practicioner,Mandatory modular system engine,2019-07-15,2019-07-23,2968.45,UAH
Universitas Hasanuddin,Kiuola,Indonesia,Recruiter,Multi-channelled local function,2016-11-06,2017-01-20,2139.04,IDR
Universidad Politecnica de Nicaragua,Estelí,Nicaragua,Occupational Therapist,Pre-emptive mobile software,2016-04-11,2016-09-06,6889.51,NIO
Centro Escolar University,Sebu,Philippines,Editor,Proactive optimal paradigm,2017-05-19,2017-07-26,7216.28,PHP
Universidade da Beira Interior,Eira Nova,Portugal,Account Coordinator,Re-contextualized reciprocal process improvement,2016-11-25,2017-01-20,1210.51,EUR
Shihezi University ,Luoqiao,China,Associate Professor,Cross-platform leading edge database,2016-02-27,2016-05-23,2952.36,CNY
University of Peloponnese,Loutráki,Greece,Senior Developer,Synchronised actuating moderator,2019-01-18,2019-03-28,391.99,EUR
University of Southern Philippines Foundation,Kudanding,Philippines,Environmental Tech,Fundamental bifurcated database,2016-04-18,2016-08-03,3051.95,PHP
Universitas Airlangga,Ciakar,Indonesia,Senior Financial Analyst,Proactive tertiary alliance,2017-02-14,2017-05-14,922.95,IDR
University of Petra,Jāwā,Jordan,Structural Analysis Engineer,Sharable explicit solution,2018-01-17,2018-01-25,5840.42,JOD
Hogeschool Leiden,Eindhoven,Netherlands,Dental Hygienist,De-engineered didactic policy,2018-06-23,2018-08-25,6306.7,EUR
Universitas Hasanuddin,Malausma Kidul,Indonesia,Account Coordinator,Optimized homogeneous moderator,2017-09-22,2018-01-12,6567.35,IDR
FAE Business School - Faculdade de Administração e Economia,Itaocara,Brazil,Research Associate,Intuitive homogeneous service-desk,2017-06-17,2017-09-24,1153.78,BRL
Turku School of Economics and Business Administration,Alavieska,Finland,Senior Developer,Ameliorated user-facing migration,2016-07-30,2016-12-09,7807.18,EUR
Henan Normal University,Xintang,China,Paralegal,Organic non-volatile intranet,2019-04-30,2019-09-12,2893.38,CNY
"Music Academy ""Fryderyk Chopin"" in Warszaw",Osielsko,Poland,GIS Technical Architect,Fundamental radical artificial intelligence,2018-03-22,2018-05-23,2566.39,PLN
Universidade Lusófona de Humanidades e Technologias,Figueiredo,Portugal,Human Resources Assistant I,Robust systematic structure,2016-11-07,2017-04-28,4833.21,EUR
Universidad Católica Santa María La Antigua,El Cortezo,Panama,VP Quality Control,Up-sized even-keeled forecast,2016-08-30,2017-01-29,1448.72,PAB
Novosibirsk State Agricultural University,Tyrnyauz,Russia,Chemical Engineer,Versatile bi-directional help-desk,2016-11-03,2017-03-24,7746.2,RUB
Xi'an Academy of Fine Art,Huaqiao,China,Accounting Assistant III,Re-contextualized systemic algorithm,2016-07-14,2017-02-10,9593.41,CNY
Universidad Católica del Uruguay,Palmitas,Uruguay,Software Consultant,Re-engineered user-facing synergy,2019-02-11,2019-03-28,6161.89,UYU
Copperbelt University,Mporokoso,Zambia,Research Nurse,Right-sized impactful knowledge base,2018-09-01,2018-09-27,7473.26,ZMW
Université de Buéa,Yagoua,Cameroon,Structural Analysis Engineer,Reduced system-worthy approach,2017-02-16,2017-08-07,8672.9,XAF
Université de Ngaoundéré,Garoua Boulaï,Cameroon,Environmental Tech,Upgradable bi-directional attitude,2016-11-02,2017-05-08,9249.14,XAF
Université d'Aix-Marseille III,Montpellier,France,Pharmacist,Total static portal,2016-10-09,2016-12-14,8703.86,EUR
Université Panthéon-Assas (Paris II),Romorantin-Lanthenay,France,Help Desk Technician,Progressive clear-thinking database,2019-05-16,2019-10-31,7789.59,EUR
Instituto Politécnico de Viana do Castelo,Antes,Portugal,Food Chemist,Versatile radical emulation,2016-07-26,2017-01-22,4805.76,EUR
College of the Holy Spirit,Barili,Philippines,Civil Engineer,Up-sized fault-tolerant hub,2017-07-04,2017-12-12,9101.66,PHP
Leyte Normal University,Kotkot,Philippines,Safety Technician IV,Advanced zero defect framework,2017-06-28,2017-07-23,7863.12,PHP
Omsk State Medicical Academy,Korkino,Russia,Account Executive,Multi-lateral homogeneous success,2018-11-18,2019-02-18,1553.3,RUB
Universitas Muhammadiyah Malang,Rungkam,Indonesia,Director of Sales,Multi-channelled encompassing matrices,2018-07-22,2018-09-07,1705.82,IDR
Liaoning University,Liupai,China,Biostatistician III,Cross-group bi-directional hub,2017-01-19,2017-02-24,5814.36,CNY
Universitas Katolik Indonesia Atma Jaya,Marang,Indonesia,Structural Analysis Engineer,Assimilated discrete internet solution,2019-10-16,2020-03-31,2908.77,IDR
Universidad Autónoma de Yucatán,Rafael Hernandez Ochoa,Mexico,Sales Representative,Re-contextualized national intranet,2017-07-06,2018-01-04,5292.2,MXN
Gansu Agricultural University,Yuanda,China,Product Engineer,Multi-lateral didactic Graphic Interface,2016-08-06,2017-01-01,1646.43,CNY
Universidad del Bajío,La Aurora,Mexico,Help Desk Operator,Decentralized system-worthy hierarchy,2019-02-28,2019-09-05,9513.7,MXN
Instituto Politécnico de Lisboa,Miraflores,Portugal,Information Systems Manager,Integrated coherent circuit,2017-07-23,2017-12-13,8905.63,EUR
Shanghai Second Polytechnic University,Aiguo,China,Editor,Expanded reciprocal collaboration,2017-01-18,2017-08-15,4408.83,CNY
Université de Lomé,Bassar,Togo,Editor,Reverse-engineered incremental instruction set,2019-05-03,2019-10-10,6378.08,XOF
Jilin University,Jianggao,China,Assistant Media Planner,Stand-alone exuding array,2017-01-16,2017-05-19,1421.36,CNY
Universitas Syiah Kuala,Lederaba,Indonesia,Assistant Professor,Fully-configurable global time-frame,2016-04-13,2016-07-07,4200.62,IDR
Universidade Ibirapuera,Bela Vista,Brazil,Help Desk Operator,Managed intermediate alliance,2016-05-09,2016-09-27,2464.6,BRL
Ghazni University,Now Zād,Afghanistan,Programmer II,Cross-platform local hub,2018-02-28,2018-04-05,7480.38,AFN
Ho Chi Minh City University of Economics,Tây Ninh,Vietnam,Safety Technician I,Configurable multi-tasking structure,2019-09-06,2019-12-05,9818.28,VND
Ecole Nationale Supérieure de Chimie de Toulouse,Vélizy-Villacoublay,France,Marketing Manager,Synergistic maximized toolset,2017-05-04,2017-11-24,7631.21,EUR
Osun State University,Makurdi,Nigeria,Nurse Practicioner,Stand-alone coherent knowledge user,2018-12-22,2019-03-28,6498.2,NGN
Universitas Mahasaraswati Denpasar,Ngori,Indonesia,VP Accounting,Organic asynchronous synergy,2019-07-06,2019-10-12,6879.37,IDR
Moscow State Automobile and Road Technical University,Danilov,Russia,Staff Accountant II,Multi-layered exuding frame,2019-01-22,2019-03-18,3845.8,RUB
University of Bohol,Subic,Philippines,Programmer I,Organic optimal knowledge base,2017-05-03,2017-08-26,7670.96,PHP
Fachhochschule für Oekonomie und Management (FOM),München,Germany,Administrative Assistant II,Multi-layered mobile moderator,2017-05-05,2017-12-03,5736.6,EUR
National Transport University,Livadiya,Ukraine,Safety Technician IV,Secured global complexity,2016-09-29,2017-03-09,2338.09,UAH
Technological University of the Philippines,Buenavista,Philippines,Chief Design Engineer,Networked grid-enabled methodology,2016-06-03,2017-01-02,3321.84,PHP
Brussels School of International Studies,Tournai,Belgium,Project Manager,Monitored coherent time-frame,2018-11-10,2019-01-31,3100.73,EUR
University of San Jose Recoletos,Lallayug,Philippines,Product Engineer,Pre-emptive zero administration intranet,2017-03-05,2017-04-07,1015.1,PHP
Wuhan Technical University of Surveying and Mapping,Luojiang,China,VP Quality Control,Networked secondary product,2019-04-01,2019-06-12,8785.53,CNY
Universidad Mariano Gálvez,San Bernardino,Guatemala,Actuary,Distributed bandwidth-monitored instruction set,2018-09-11,2019-03-26,5981.79,GTQ
Universitas Wisnuwardhana,Melati,Indonesia,Staff Accountant I,Fully-configurable stable encoding,2017-05-25,2017-11-09,8010.5,IDR
Capital University Law School,El Paso,United States,Budget/Accounting Analyst I,Innovative fresh-thinking capability,2019-01-15,2019-07-08,1270.16,USD
Guangxi University for Nationalities,A’yi Take,China,Programmer Analyst III,Customer-focused discrete monitoring,2019-07-10,2019-08-17,9724.22,CNY
Instituto Politécnico do Cávado e do Ave,Granja do Tedo,Portugal,Financial Advisor,Multi-channelled next generation emulation,2017-02-22,2017-08-24,8838.28,EUR
Universitas Ngurah Rai,Waepau,Indonesia,Associate Professor,Re-engineered bandwidth-monitored framework,2016-12-16,2017-07-12,1137.44,IDR
Medical Academy Karol Marcinkowski in Poznan,Nowe,Poland,Geologist IV,Profound methodical attitude,2017-06-22,2018-01-04,7423.49,PLN
Kalmar University College,Uppsala,Sweden,Editor,Managed secondary capacity,2018-03-29,2018-07-31,5112.36,SEK
Universidad Cientifica Latinoamericana de Hidalgo,Buenavista,Mexico,Research Nurse,Enterprise-wide tangible service-desk,2016-10-11,2017-03-10,3548.7,MXN
Changsha Railway University,Fengle,China,Senior Cost Accountant,Visionary human-resource utilisation,2016-08-17,2016-12-03,5370.23,CNY
Universitas Mulawarman,Purbalingga,Indonesia,Help Desk Operator,Grass-roots 5th generation approach,2017-01-04,2017-07-10,7274.51,IDR
University of Belize,San Pedro,Belize,Social Worker,Reduced encompassing system engine,2018-02-17,2018-03-02,9074.88,BZD
Université de Bamenda,Doumé,Cameroon,Software Consultant,Reverse-engineered actuating concept,2019-11-13,2020-05-19,1998.58,XAF
Linköping University,Skillingaryd,Sweden,Developer IV,Future-proofed neutral strategy,2018-04-23,2018-06-09,600.54,SEK
Ludong University,Chengnan,China,Statistician III,Automated actuating encoding,2018-03-23,2018-08-15,8083.23,CNY
Université de Yaoundé II,Buea,Cameroon,Web Developer I,Visionary interactive process improvement,2016-10-25,2017-05-28,1599.82,XAF
"University College of Arts, Crafts and Design",Sundsvall,Sweden,Occupational Therapist,Intuitive asymmetric interface,2016-06-29,2016-10-23,4320.04,SEK
Universitas Bengkulu,Bentengjawa,Indonesia,Chief Design Engineer,Customizable explicit application,2018-03-07,2018-06-17,5924.98,IDR
Xi'an University of Electronic Science and Technology,Lizhuang,China,Chemical Engineer,Centralized neutral time-frame,2019-04-02,2019-09-25,8986.93,CNY
Felician College,Albuquerque,United States,Health Coach I,Persevering logistical monitoring,2019-05-01,2019-07-08,3445.11,USD
Kurdistan University of Medical Sciences,Āstārā,Iran,Database Administrator III,Triple-buffered modular circuit,2019-01-14,2019-06-26,5041.04,IRR
Shandong University of Art and Design,Changshan,China,Internal Auditor,Right-sized explicit info-mediaries,2016-10-19,2017-02-25,8046.05,CNY
Hope Africa University,Bururi,Burundi,Social Worker,Up-sized homogeneous core,2019-09-08,2019-12-06,4078.26,BIF
College of Computer Science in Lodz,Ośno Lubuskie,Poland,Editor,Digitized encompassing software,2019-02-27,2019-05-01,5650.98,PLN
Universitas Diponegoro,Pasirmalang,Indonesia,VP Marketing,Right-sized bandwidth-monitored instruction set,2016-02-27,2016-07-28,8706.2,IDR
Universidade Portucalense Infante D. Henrique,Fonte,Portugal,Director of Sales,Integrated dedicated approach,2018-03-20,2018-09-08,2505.67,EUR
Honam University,Jangheung,South Korea,Environmental Tech,Seamless maximized algorithm,2018-08-23,2019-01-19,9179.78,KRW
Hokuriku University,Shinshiro,Japan,Graphic Designer,Mandatory actuating encryption,2016-06-11,2016-07-27,7425.8,JPY
Universitas Bakrie,Lamatuka,Indonesia,Desktop Support Technician,Stand-alone scalable solution,2016-05-30,2016-12-31,8838.47,IDR
Vilnius Academy of Arts,Veisiejai,Lithuania,Administrative Officer,Switchable zero defect attitude,2019-09-11,2020-02-06,7567.42,LTL
Université René Descartes (Paris V),Belfort,France,Developer III,Intuitive radical pricing structure,2019-01-02,2019-06-28,3791.07,EUR
Universidad Mariana,Mistrató,Colombia,Accounting Assistant III,Future-proofed context-sensitive core,2019-02-16,2019-05-15,7616.34,COP
Växjö University,Hisings Kärra,Sweden,Occupational Therapist,Team-oriented non-volatile framework,2019-02-19,2019-05-27,469.2,SEK
Ain Shams University,Az Zarqā,Egypt,Information Systems Manager,Assimilated optimal knowledge user,2018-04-08,2018-06-19,4562.2,EGP
Universitas Ngurah Rai,Cemplang,Indonesia,Chemical Engineer,Compatible well-modulated infrastructure,2018-10-11,2019-04-17,102.76,IDR
Universidad del Tepeyac,San Francisco,Mexico,Accounting Assistant I,Integrated mobile challenge,2019-10-25,2020-05-06,1936.12,MXN
Tibet Agricultural and Animal Husbandry College,Xiaochi,China,VP Marketing,Future-proofed zero tolerance concept,2016-04-19,2016-07-24,313.95,CNY
Beijing Information Science and Technology University,Xinsheng,China,VP Product Management,Function-based impactful collaboration,2017-04-10,2017-11-10,7561.36,CNY
Arellano University,Cagbang,Philippines,Sales Associate,Customizable tertiary initiative,2019-01-03,2019-04-07,4075.76,PHP
Universitas Katolik Parahyangan,Camplong,Indonesia,Structural Engineer,Intuitive encompassing help-desk,2017-02-01,2017-03-14,6048.2,IDR
Beijing Polytechnic University,Zhangxi,China,Product Engineer,Monitored impactful installation,2019-11-03,2020-04-04,2644.87,CNY
Instituto Piaget,Gândara de Aquém,Portugal,Compensation Analyst,Digitized tangible parallelism,2017-05-09,2017-08-27,4237.5,EUR
South West University Yucai College,Xinkai,China,Legal Assistant,Customizable well-modulated hardware,2017-10-02,2018-04-30,304.19,CNY
Immanuel Kant State University of Russia,Gribanovskiy,Russia,Senior Quality Engineer,Versatile zero tolerance intranet,2016-12-05,2017-01-05,8160.04,RUB
Xi'an University of Technology,Huilong,China,Media Manager I,Multi-channelled optimal superstructure,2017-01-02,2017-05-17,5584.65,CNY
International University of Kyrgyzstan,Karavan,Kyrgyzstan,Statistician II,Expanded client-server open system,2019-04-27,2019-11-23,9419.74,KGS
Jilin University of Technology,Xinsheng,China,Associate Professor,Automated needs-based methodology,2016-08-04,2016-09-13,6679.2,CNY
China University of Geosciences Wuhan,Dongqinggou,China,Internal Auditor,Total explicit projection,2017-02-06,2017-07-29,8260.49,CNY
Trinity Western University,Digby,Canada,Computer Systems Analyst III,Open-source zero tolerance hub,2016-05-05,2016-09-14,1348.02,CAD
